period,days,total_return,annual_return,max_drawdown,sharpe,sortino,calmar,win_rate,profit_loss_ratio,win_days,loss_days
2024 full year,241,0.1777052721985526,0.1865306318189135,0.21933931184611966,0.8311640480502117,1.3543808689629915,0.8504204296481813,0.5103734439834025,1.1170140927063017,123,118
2025 full year,242,0.19745396810390425,0.20640370788735463,0.07106667196356753,1.4399824994057187,1.9079956585592441,2.9043671552984485,0.5041322314049587,1.279799411180888,122,120
2026 H1,115,0.11340090783140577,0.2653998846740091,0.07634364631064473,1.279004314843049,2.0770051609425373,3.4763847091359574,0.5130434782608696,1.1998530444151723,59,56
